year,injdur,pc
2012,8,0.0350624399615754
2012,9,0.0283381364073007
2012,10,0.042747358309318
2012,11,0.0446685878962536
2012,12,0.0528338136407301
2012,13,0.0365033621517771
2012,14,0.0417867435158501
2012,15,0.0408261287223823
2012,16,0.037463976945245
2012,17,0.0365033621517771
2012,18,0.031700288184438
2012,19,0.0331412103746398
2012,20,0.0292987512007685
2012,21,0.0216138328530259
2012,22,0.0182516810758886
2012,23,0.0163304514889529
2012,24,0.0115273775216138
2012,25,0.00960614793467819
2012,26,0.0100864553314121
2012,27,0.010566762728146
2012,28,0.00912584053794428
2012,29,0.00672430355427474
2012,30,0.0100864553314121
2012,31,0.00720461095100865
2012,32,0.00384245917387128
2012,33,0.00624399615754083
2012,34,0.00432276657060519
2012,35,0.00192122958693564
2012,36,0.00192122958693564
2012,37,0.00144092219020173
2012,38,0.00240153698366955
2012,39,0.00048030739673391
2012,40,0.00048030739673391
2013,0,0.0384435067979372
2013,1,0.0459446788560713
2013,2,0.0346929207688701
2013,3,0.0328176277543366
2013,4,0.029535864978903
2013,5,0.0360993905297703
2013,6,0.037037037037037
2013,7,0.0300046882325363
2013,8,0.0337552742616034
2013,9,0.0356305672761369
2013,10,0.0304735114861697
2013,11,0.0342240975152368
2013,12,0.0436005625879044
2013,13,0.0520393811533052
2013,14,0.0445382090951711
2013,15,0.0571964369432724
2013,16,0.0464135021097046
2013,17,0.0412564463197375
2013,18,0.037037037037037
2013,19,0.0314111579934365
2013,20,0.0360993905297703
2013,21,0.0290670417252696
2013,22,0.0271917487107361
2013,23,0.0201593999062353
2013,24,0.013595874355368
2013,25,0.0154711673699015
2013,26,0.013595874355368
2013,27,0.00890764181903422
2013,28,0.0093764650726676
2013,29,0.0103141115799344
2013,30,0.00609470229723394
2013,31,0.00843881856540084
2013,32,0.00281293952180028
2013,33,0.00609470229723394
2013,34,0.0046882325363338
2013,35,0.00515705578996718
2013,36,0.00187529301453352
2013,37,0.00187529301453352
2013,38,0.00046882325363338
2013,39,0.00187529301453352
2013,40,0.00093764650726676
2014,0,0.0288226673180264
2014,1,0.0376160234489497
2014,2,0.0390815828041036
2014,3,0.0395701025891549
2014,4,0.0327308255984367
2014,5,0.029799706888129
2014,6,0.0351734245236932
