year,fit,lower,higher,tau,region
1990,32.3684210526315,30.8574061675917,33.8794359376714,0.5,West Midlands
1991,31.6491228070175,30.3174357894146,32.9808098246204,0.5,West Midlands
1992,31,29.8326772264845,32.1673227735154,0.5,West Midlands
1993,30.4210526315789,29.402367161,31.4397381021578,0.5,West Midlands
1994,29.9122807017544,29.0255357986952,30.7990256048135,0.5,West Midlands
1995,29.4736842105263,28.7010130449895,30.2463553760631,0.5,West Midlands
1996,29.1052631578947,28.4275336219115,29.7829926938779,0.5,West Midlands
1997,28.8070175438596,28.204036144529,29.4099989431902,0.5,West Midlands
1998,28.578947368421,28.0302175868019,29.1276771500401,0.5,West Midlands
1999,28.4210526315789,27.9072021678517,28.9349030953062,0.5,West Midlands
2000,28.3333333333333,27.8378865120445,28.8287801546221,0.5,West Midlands
2001,28.3157894736842,27.8265625432043,28.8050164041641,0.5,West Midlands
2002,28.3684210526316,27.8779854169267,28.8588566883365,0.5,West Midlands
2003,28.4912280701755,27.9964815958048,28.9859745445461,0.5,West Midlands
2004,28.6842105263158,28.1854784616424,29.1829425909892,0.5,West Midlands
2005,28.9473684210527,28.4474170678906,29.4473197742147,0.5,West Midlands
2006,29.280701754386,28.7838434053654,29.7775601034066,0.5,West Midlands
2007,29.6842105263158,29.1955173646448,30.1729036879869,0.5,West Midlands
2008,30.1578947368422,29.682455877549,30.6333335961353,0.5,West Midlands
2009,30.701754385965,30.243868410426,31.1596403615039,0.5,West Midlands
2010,31.3157894736843,30.8779572376307,31.7536217097379,0.5,West Midlands
2011,32.0000000000001,31.5815816141501,32.41841838585,0.5,West Midlands
2012,32.7543859649123,32.3499045853707,33.158867344454,0.5,West Midlands
2013,33.5789473684211,33.1764533671817,33.9814413696605,0.5,West Midlands
2014,34.4736842105264,34.0543169140683,34.8930515069845,0.5,West Midlands
2015,35.4385964912282,34.9784773336651,35.8987156487913,0.5,West Midlands
2016,36.4736842105264,35.9474512522543,36.9999171687985,0.5,West Midlands
2017,37.5789473684212,36.9626709572984,38.195223779544,0.5,West Midlands
2018,38.7543859649124,38.0267012964464,39.4820706333784,0.5,West Midlands
2019,40.0000000000001,39.1419844221624,40.8580155778378,0.5,West Midlands
1990,37.7390648567119,35.9940930233339,39.4840366900899,0.75,West Midlands
1991,37.095525389643,35.557670469859,38.633380309427,0.75,West Midlands
1992,36.5158371040724,35.1671763654097,37.864497842735,0.75,West Midlands
1993,36,34.8215769733092,37.1784230266907,0.75,West Midlands
1994,35.5480140774258,34.5195782796516,36.5764498752,0.75,West Midlands
1995,35.1598793363499,34.2596635509779,36.0600951217219,0.75,West Midlands
1996,34.8355957767722,34.0402860809096,35.6309054726349,0.75,West Midlands
1997,34.5751633986928,33.8603302016421,35.2899965957435,0.75,West Midlands
1998,34.3785822021116,33.7198547500158,35.0373096542074,0.75,West Midlands
1999,34.2458521870287,33.6208263499821,34.8708780240752,0.75,West Midlands
2000,34.1769733534439,33.5672735764577,34.7866731304302,0.75,West Midlands
2001,34.1719457013575,33.564574565824,34.7793168368909,0.75,West Midlands
2002,34.2307692307692,33.6183065874479,34.8432318740906,0.75,West Midlands
2003,34.3534439416793,33.7333398888246,34.9735479945339,0.75,West Midlands
2004,34.5399698340875,33.9134513134726,35.1664883547024,0.75,West Midlands
2005,34.790346907994,34.1613181717639,35.4193756442241,0.75,West Midlands
2006,35.1045751633987,34.4786607915338,35.7304895352636,0.75,West Midlands
2007,35.4826546003017,34.8663816341026,36.0989275665008,0.75,West Midlands
2008,35.9245852187029,35.3246293050719,36.524541132334,0.75,West Midlands
2009,36.4303670186024,35.852751650426,37.0079823867787,0.75,West Midlands
2010,37.0000000000001,36.4491067073332,37.5508932926669,0.75,West Midlands
2011,37.633484162896,37.1107032302217,38.1562650955703,0.75,West Midlands
