yr,fit,lower,higher,tau,region,parameter
2009,27.7196969696969,26.9434055622398,28.495988377154,0.5,GCC,age_init
2010,28.3863636363636,27.5022693680991,29.2704579046281,0.5,GCC,age_init
2011,29,28.0091957236549,29.990804276345,0.5,GCC,age_init
2012,29.560606060606,28.5012939430533,30.6199181781587,0.5,GCC,age_init
2013,30.0681818181818,28.9797530156563,31.1566106207073,0.5,GCC,age_init
2014,30.5227272727272,29.4211780089473,31.6242765365072,0.5,GCC,age_init
2015,30.9242424242424,29.7775689528485,32.0709158956363,0.5,GCC,age_init
2016,31.2727272727273,29.985114237543,32.5603403079115,0.5,GCC,age_init
2017,31.5681818181818,29.9952864565011,33.1410771798625,0.5,GCC,age_init
2018,31.810606060606,29.7964686110507,33.8247435101614,0.5,GCC,age_init
2019,32,29.3995512012646,34.6004487987353,0.5,GCC,age_init
2005,29.4999999999999,26.7634512260368,32.2365487739631,0.75,GCC,age_init
2006,30.8124999999999,28.8680535449877,32.7569464550122,0.75,GCC,age_init
2007,32,30.6344519972545,33.3655480027454,0.75,GCC,age_init
2008,33.0625,31.993945812835,34.1310541871649,0.75,GCC,age_init
2009,34,32.9402215521467,35.0597784478532,0.75,GCC,age_init
2010,34.8125,33.6170403094023,36.0079596905976,0.75,GCC,age_init
2011,35.5,34.1622176707867,36.8377823292132,0.75,GCC,age_init
2012,36.0625,34.6327959180509,37.492204081949,0.75,GCC,age_init
2013,36.5,35.0367678985091,37.9632321014908,0.75,GCC,age_init
2014,36.8125,35.3500261036126,38.2749738963874,0.75,GCC,age_init
2015,37,35.5150685708673,38.4849314291327,0.75,GCC,age_init
2016,37.0625,35.4448837448381,38.6801162551619,0.75,GCC,age_init
2017,37,35.0608481038145,38.9391518961855,0.75,GCC,age_init
2018,36.8125,34.3362449485602,39.2887550514398,0.75,GCC,age_init
2019,36.5,33.2849352611137,39.7150647388863,0.75,GCC,age_init
