year,md,lower,upper,region,parameter
1999,24,20.75,28,South West,age_init
2000,23.5,19,28,South West,age_init
2001,24,20,29,South West,age_init
2002,26.5,19.25,30.75,South West,age_init
2003,23,19,29.5,South West,age_init
2004,22,19,27,South West,age_init
2005,24.5,19.25,28,South West,age_init
2006,22,19.5,27,South West,age_init
2007,24,20,28,South West,age_init
2008,25.5,19,28,South West,age_init
2009,22,19,28,South West,age_init
2010,26,22,30,South West,age_init
2011,27,22,31,South West,age_init
2012,26,21,31,South West,age_init
2013,29,27,32,South West,age_init
2014,29,22,38,South West,age_init
2015,28,23,33,South West,age_init
2016,30,20.5,37,South West,age_init
2017,30,26,34,South West,age_init
2018,30.5,28,35.75,South West,age_init
2019,25,24,32,South West,age_init
1987,19,19,19,Wales,age_init
1990,20,18,26,Wales,age_init
1989,19,18,21,Wales,age_init
1991,22,21,25,Wales,age_init
1988,16,16,16,Wales,age_init
1992,23,21,26,Wales,age_init
1993,21,20,24,Wales,age_init
1994,21,19.25,24,Wales,age_init
1995,20,17,25,Wales,age_init
1996,21,17,26,Wales,age_init
1997,22,19,27,Wales,age_init
1998,20,18,26.75,Wales,age_init
1999,23,18,26,Wales,age_init
2000,22.5,18,25.25,Wales,age_init
2001,22,20,25.75,Wales,age_init
2002,22.5,18.5,26,Wales,age_init
2003,22,21,24.5,Wales,age_init
2004,25,22,27.75,Wales,age_init
2005,24,19.5,30,Wales,age_init
2006,25,21,29,Wales,age_init
2007,23,19,28,Wales,age_init
2008,24,20,30,Wales,age_init
2009,25.5,24,35,Wales,age_init
2010,25.5,19.25,33.75,Wales,age_init
2011,28.5,23,35,Wales,age_init
2012,30,21,38,Wales,age_init
2013,29,26.5,34,Wales,age_init
2014,26,22,34,Wales,age_init
2015,31,28,35.25,Wales,age_init
2016,32.5,29.5,37.75,Wales,age_init
2017,31,27.5,38.75,Wales,age_init
2018,24,22,33,Wales,age_init
2019,36,27.5,44.75,Wales,age_init
1989,23.5,21.75,25.25,West Midlands,age_init
1991,24,18,27,West Midlands,age_init
1990,18,18,19,West Midlands,age_init
