year,fit,lower,higher,tau,region,parameter
2015,28.397759103642,28.1078964904096,28.6876217168745,0.5,England,age_init_whole_sample
2016,28.9198879551827,28.6043097466477,29.2354661637176,0.5,England,age_init_whole_sample
2017,29.4539682539688,29.1114238219488,29.7965126859888,0.5,England,age_init_whole_sample
2018,30.0000000000006,29.629252057156,30.3707479428452,0.5,England,age_init_whole_sample
2019,30.5579831932779,30.1578056166547,30.9581607699012,0.5,England,age_init_whole_sample
1990,22.9692513368989,22.8895947993599,23.0489078744379,0.75,England,age_init_whole_sample
1991,23.3302139037438,23.2469679952068,23.4134598122808,0.75,England,age_init_whole_sample
1992,23.7005347593588,23.6140855718452,23.7869839468724,0.75,England,age_init_whole_sample
1993,24.0802139037438,23.9910711996605,24.1693566078271,0.75,England,age_init_whole_sample
1994,24.4692513368989,24.3779438547502,24.5605588190476,0.75,England,age_init_whole_sample
1995,24.867647058824,24.7746339290069,24.9606601886412,0.75,England,age_init_whole_sample
1996,25.2754010695192,25.1809900705795,25.3698120684589,0.75,England,age_init_whole_sample
1997,25.6925133689845,25.5967810497355,25.7882456882335,0.75,England,age_init_whole_sample
1998,26.1189839572198,26.0216978794415,26.2162700349981,0.75,England,age_init_whole_sample
1999,26.5548128342252,26.4553626101336,26.6542630583167,0.75,England,age_init_whole_sample
2000,27.0000000000006,26.8973503323599,27.1026496676412,0.75,England,age_init_whole_sample
2001,27.454545454546,27.3472274137193,27.5618634953727,0.75,England,age_init_whole_sample
2002,27.9184491978615,27.8046005712257,28.0322978244974,0.75,England,age_init_whole_sample
2003,28.3917112299471,28.2691619814664,28.5142604784278,0.75,England,age_init_whole_sample
2004,28.8743315508027,28.7407138564125,29.007949245193,0.75,England,age_init_whole_sample
2005,29.3663101604284,29.2191656704193,29.5134546504375,0.75,England,age_init_whole_sample
2006,29.8676470588241,29.7045108637511,30.0307832538972,0.75,England,age_init_whole_sample
2007,30.3783422459899,30.1967964332408,30.559888058739,0.75,England,age_init_whole_sample
2008,30.8983957219258,30.6960961528769,31.1006952909746,0.75,England,age_init_whole_sample
