year,fit,lower,higher,tau,region
2007,6.11413043478267,5.84675722691176,6.38150364265358,0.25,North West
2008,6.42546583850938,6.13697316004843,6.71395851697033,0.25,North West
2009,6.73913043478267,6.4228813258037,7.05537954376165,0.25,North West
2010,7.05512422360255,6.70362005644101,7.40662839076408,0.25,North West
2011,7.37344720496901,6.97875031230937,7.76814409762864,0.25,North West
2012,7.69409937888205,7.24816251786258,8.14003623990152,0.25,North West
2013,8.01708074534168,7.5119526670065,8.52220882367685,0.25,North West
2014,8.34239130434789,7.77031700019145,8.91446560850432,0.25,North West
2015,8.67003105590069,8.02348242936938,9.31657968243199,0.25,North West
2016,9.00000000000006,8.27166868129379,9.72833131870633,0.25,North West
2017,9.33229813664603,8.5150716163283,10.1495246569638,0.25,North West
2018,9.66692546583857,8.75385842432065,10.5799925073565,0.25,North West
2019,10.0038819875777,8.9881685773886,11.0195953977668,0.25,North West
1990,3.82312925170078,3.32096948502115,4.3252890183804,0.5,North West
1991,4.24489795918377,3.82675149786201,4.66304442050553,0.5,North West
1992,4.6734693877552,4.33002411457408,5.01691466093632,0.5,North West
1993,5.10884353741506,4.82938869931536,5.38829837551476,0.5,North West
1994,5.55102040816336,5.3226416578621,5.77939915846463,0.5,North West
1995,6.0000000000001,5.80683459168576,6.19316540831444,0.5,North West
1996,6.45578231292527,6.27965994327427,6.63190468257628,0.5,North West
1997,6.91836734693888,6.74225699903037,7.09447769484738,0.5,North West
1998,7.38775510204092,7.19981130573102,7.57569889835082,0.5,North West
1999,7.8639455782314,7.65839953445988,8.06949162200291,0.5,North West
2000,8.34693877551031,8.12247686169596,8.57140068932466,0.5,North West
2001,8.83673469387766,8.59466545942646,9.07880392832885,0.5,North West
2002,9.33333333333344,9.07633464327513,9.59033202339175,0.5,North West
2003,9.83673469387766,9.56808066295058,10.1053887248047,0.5,North West
2004,10.3469387755103,10.069990694145,10.6238868568757,0.5,North West
2005,10.8639455782314,10.5817574107666,11.1461337456962,0.5,North West
2006,11.3877551020409,11.1027039211813,11.6728062829005,0.5,North West
2007,11.9183673469389,11.6317577819906,12.2049769118872,0.5,North West
2008,12.4557823129253,12.1674095254607,12.7441551003898,0.5,North West
2009,13.0000000000001,12.7077071962357,13.2922928037645,0.5,North West
2010,13.5510204081634,13.2503603332116,13.8516804831152,0.5,North West
2011,14.1088435374151,13.7930126022038,14.4246744726264,0.5,North West
2012,14.6734693877552,14.3336420157323,15.0132967597781,0.5,North West
2013,15.2448979591838,14.8709064176971,15.6188895006705,0.5,North West
2014,15.8231292517008,15.4042421381429,16.2420163652587,0.5,North West
2015,16.4081632653062,15.9337032050946,16.8826233255179,0.5,North West
2016,17.0000000000001,16.4596942519055,17.5403057480947,0.5,North West
2017,17.5986394557824,16.9827446302916,18.2145342812733,0.5,North West
2018,18.2040816326532,17.5033746632064,18.9047886021,0.5,North West
2019,18.8163265306124,18.0220377865416,19.6106152746832,0.5,North West
1990,8.09915966386565,7.49159949392152,8.70671983380978,0.75,North West
1991,8.63025210084044,8.12270927366135,9.13779492801952,0.75,North West
1992,9.16470588235304,8.74608202563208,9.58332973907401,0.75,North West
1993,9.70252100840346,9.35996230840058,10.0450797084063,0.75,North West
1994,10.2436974789917,9.96163928527228,10.5257556727111,0.75,North West
1995,10.7882352941178,10.5475911981962,11.0288793900393,0.75,North West
1996,11.3361344537816,11.1151947744918,11.5570741330714,0.75,North West
1997,11.8873949579833,11.6659050811834,12.1088848347832,0.75,North West
1998,12.4420168067228,12.2057890405256,12.67824457292,0.75,North West
1999,13.0000000000001,12.741944828872,13.2580551711282,0.75,North West
2000,13.5613445378152,13.2796668705583,13.8430222050721,0.75,North West
2001,14.1260504201682,13.8221624191172,14.4299384212192,0.75,North West
2002,14.6941176470589,14.3711916571284,15.0170436369895,0.75,North West
2003,15.2655462184875,14.9276245024924,15.6034679344826,0.75,North West
2004,15.8403361344539,15.491762493746,16.1889097751618,0.75,North West
