yr,year_init,pc
2015,1976,0.000968523002421307
2015,1977,0.00145278450363196
2015,1978,0.00242130750605327
2015,1979,0.00338983050847458
2015,1980,0.00677966101694915
2015,1981,0.00484261501210654
2015,1982,0.00484261501210654
2015,1983,0.00871670702179177
2015,1984,0.00871670702179177
2015,1985,0.0106537530266344
2015,1986,0.00726392251815981
2015,1987,0.0101694915254237
2015,1988,0.0121065375302663
2015,1989,0.0121065375302663
2015,1990,0.014043583535109
2015,1991,0.0174334140435835
2015,1992,0.0184019370460048
2015,1993,0.023728813559322
2015,1994,0.0280871670702179
2015,1995,0.0368038740920097
2015,1996,0.0421307506053269
2015,1997,0.0460048426150121
2015,1998,0.0397094430992736
2015,1999,0.0411622276029056
2015,2000,0.0508474576271187
2015,2001,0.0464891041162228
2015,2002,0.0474576271186441
2015,2003,0.0484261501210654
2015,2004,0.0387409200968523
2015,2005,0.0484261501210654
2015,2006,0.0430992736077482
2015,2007,0.0348668280871671
2015,2008,0.0324455205811138
2015,2009,0.0421307506053269
2015,2010,0.0319612590799031
2015,2011,0.0280871670702179
2015,2012,0.0353510895883777
2015,2013,0.0295399515738499
2015,2014,0.0246973365617433
2015,2015,0.0135593220338983
2016,1970,0
2016,1971,0
2016,1972,0
2016,1973,0
2016,1974,0
2016,1975,0
2016,1976,0
2016,1977,0
2016,1978,0
2016,1979,0
2016,1980,0
2016,1981,0
2016,1982,0
2016,1983,0.00555555555555556
2016,1984,0
2016,1985,0.00555555555555556
2016,1986,0.00555555555555556
2016,1987,0
2016,1988,0
2016,1989,0.0166666666666667
2016,1990,0
2016,1991,0
2016,1992,0.0111111111111111
2016,1993,0.0111111111111111
2016,1994,0.0444444444444444
2016,1995,0.0555555555555556
2016,1996,0.0333333333333333
2016,1997,0.0666666666666667
2016,1998,0.0611111111111111
2016,1999,0.0444444444444444
2016,2000,0.0333333333333333
2016,2001,0.0277777777777778
2016,2002,0.0277777777777778
2016,2003,0.05
2016,2004,0.0777777777777778
2016,2005,0.0277777777777778
2016,2006,0.0611111111111111
2016,2007,0.0611111111111111
2016,2008,0.0611111111111111
2016,2009,0.05
2016,2010,0.0333333333333333
2016,2011,0.0388888888888889
2016,2012,0.0222222222222222
2016,2013,0.0388888888888889
2016,2014,0.0222222222222222
2016,2015,0.00555555555555556
2016,2016,0
2017,1970,0
2017,1971,0
2017,1972,0
2017,1973,0
2017,1974,0.00129366106080207
2017,1975,0
2017,1976,0.00129366106080207
2017,1977,0
2017,1978,0
2017,1979,0.00258732212160414
2017,1980,0.00776196636481242
2017,1981,0.00258732212160414
2017,1982,0.0103492884864166
2017,1983,0.00776196636481242
2017,1984,0.0116429495472186
2017,1985,0.0142302716688228
2017,1986,0.019404915912031
2017,1987,0.0155239327296248
2017,1988,0.0142302716688228
2017,1989,0.0168175937904269
2017,1990,0.0142302716688228
2017,1991,0.0232858990944373
2017,1992,0.0310478654592497
2017,1993,0.0232858990944373
2017,1994,0.0310478654592497
2017,1995,0.0349288486416559
2017,1996,0.0543337645536869
