year,injdurI,pc
2006,34,0.00252844500632111
2006,35,0.00252844500632111
2006,36,0.000842815002107038
2006,37,0.00126422250316056
2006,38,0.000421407501053519
2006,39,0.000842815002107038
2006,40,0.000421407501053519
2007,0,0.0579992214869599
2007,1,0.0424289606850915
2007,2,0.0622810432074737
2007,3,0.0467107824056053
2007,4,0.0502140910860257
2007,5,0.0556636823666796
2007,6,0.0579992214869599
2007,7,0.0630595562475672
2007,8,0.0622810432074737
2007,9,0.0478785519657454
2007,10,0.0537173997664461
2007,11,0.0474892954456987
2007,12,0.0397041650447645
2007,13,0.0459322693655119
2007,14,0.0377578824445309
2007,15,0.0299727520435967
2007,16,0.0280264694433632
2007,17,0.0217983651226158
2007,18,0.0194628260023355
2007,19,0.020241339042429
2007,20,0.0124562086414947
2007,21,0.0108991825613079
2007,22,0.0108991825613079
2007,23,0.00973141300116777
2007,24,0.0132347216815882
2007,25,0.00973141300116777
2007,26,0.00778513040093422
2007,27,0.00194628260023355
2007,28,0.00583884780070066
2007,29,0.0035033086804204
2007,30,0.0035033086804204
2007,31,0.0035033086804204
2007,32,0.00311405216037369
2007,33,0.00155702608018684
2007,34,0.00272479564032698
2007,35,0.00233553912028026
2007,36,0.00155702608018684
2007,37,0.000778513040093422
2007,38,0.000778513040093422
2007,39,0
2007,40,0.00116776956014013
2008,0,0.0641373080397471
2008,1,0.0401987353206865
2008,2,0.0519421860885276
2008,3,0.0487804878048781
2008,4,0.0501355013550136
2008,5,0.0420054200542005
2008,6,0.0551038843721771
2008,7,0.044263775971093
2008,8,0.0596205962059621
2008,9,0.0492321589882566
2008,10,0.0600722673893406
2008,11,0.0505871725383921
2008,12,0.0438121047877146
2008,13,0.046070460704607
2008,14,0.02710027100271
2008,15,0.0275519421860885
2008,16,0.0275519421860885
2008,17,0.025293586269196
2008,18,0.0257452574525745
2008,19,0.01806684733514
2008,20,0.0185185185185185
2008,21,0.0140018066847335
2008,22,0.0158084914182475
2008,23,0.0149051490514905
2008,24,0.0149051490514905
2008,25,0.010840108401084
2008,26,0.0121951219512195
2008,27,0.00451671183378501
2008,28,0.00813008130081301
2008,29,0.00903342366757001
2008,30,0.003613369467028
2008,31,0.0022583559168925
2008,32,0.0031616982836495
2008,33,0.002710027100271
2008,34,0.000903342366757001
2008,35,0.0022583559168925
2008,36,0.000903342366757001
2008,37,0.000903342366757001
2008,38,0
2008,39,0.000451671183378501
2008,40,0.000903342366757001
2009,0,0.0458926112895824
2009,1,0.0536943552088114
2009,2,0.0555300596603947
2009,3,0.0523175768701239
2009,4,0.0371730151445617
2009,5,0.0582836163377696
2009,6,0.0458926112895824
2009,7,0.0454336851766866
2009,8,0.0394676457090408
2009,9,0.0435979807251033
2009,10,0.054612207434603
2009,11,0.0481872418540615
2009,12,0.0385497934832492
2009,13,0.0472693896282699
2009,14,0.04176227627352
2009,15,0.0335016062413951
2009,16,0.0256998623221661
2009,17,0.0238641578705828
2009,18,0.0252409362092703
2009,19,0.0256998623221661
2009,20,0.023405231757687
2009,21,0.0137677833868747
2009,22,0.0142267094997705
2009,23,0.0114731528223956
2009,24,0.0137677833868747
2009,25,0.0105553005966039
2009,26,0.0169802661771455
2009,27,0.0110142267094998
2009,28,0.0114731528223956
2009,29,0.00504818724185406
2009,30,0.00413033501606241
2009,31,0.0018357044515833
2009,32,0.00413033501606241
2009,33,0.00137677833868747
2009,34,0.00413033501606241
2009,35,0.00137677833868747
2009,36,0.0018357044515833
2009,37,0.0018357044515833
2009,38,0.0018357044515833
2009,39,0.000458926112895824
2009,40,0.000458926112895824
2010,0,0.053935860058309
2010,1,0.0524781341107872
2010,2,0.0519922254616132
2010,3,0.0388726919339164
2010,4,0.0335276967930029
2010,5,0.0383867832847425
2010,6,0.0379008746355685
2010,7,0.0349854227405248
2010,8,0.0461613216715258
2010,9,0.0388726919339164
2010,10,0.0490767735665695
2010,11,0.0510204081632653
2010,12,0.0485908649173955
2010,13,0.0524781341107872
2010,14,0.0451895043731778
2010,15,0.0383867832847425
2010,16,0.0393586005830904
2010,17,0.0291545189504373
2010,18,0.033041788143829
2010,19,0.021865889212828
2010,20,0.0228377065111759
2010,21,0.0170068027210884
2010,22,0.0145772594752187
2010,23,0.0131195335276968
2010,24,0.0136054421768707
2010,25,0.00923226433430515
2010,26,0.00971817298347911
2010,27,0.00971817298347911
2010,28,0.0116618075801749
2010,29,0.00534499514091351
2010,30,0.0087463556851312
2010,31,0.00728862973760933
2010,32,0.00631681243926142
2010,33,0.00388726919339164
2010,34,0.00194363459669582
2010,35,0
2010,36,0.000485908649173955
2010,37,0.000971817298347911
2010,38,0.00194363459669582
2010,39,0.00291545189504373
2010,40,0.000971817298347911
2011,0,0.0403744880046811
2011,1,0.0380339379754242
2011,2,0.0409596255119953
2011,3,0.0380339379754242
2011,4,0.0450555880631949
2011,5,0.0403744880046811
2011,6,0.042715038033938
2011,7,0.0403744880046811
2011,8,0.0327677004095963
2011,9,0.0403744880046811
2011,10,0.0444704505558806
2011,11,0.0491515506143944
2011,12,0.0468110005851375
2011,13,0.056173200702165
2011,14,0.0520772381509655
2011,15,0.0456407255705091
